Team Member,Building ,Room,Capacity,Room Type,Moveable-Tables,Moveable-Chairs,Moveable Tablet-Desk,AV Display,Source blueray,Source d-v-d,Source v-h-s,Source doc cam,Source hdmi,Source vga,Source wirelss projection,Voice Amplification,Classroom-Computer,Video Playback,Sound System,Inter-active,BruinCast Vid,BruinCast Sound,Wireless Network,Zoom Streaming,Classroom floor plan link
LaMar,Kaufman,136,12,,1,1,,Flat Screen,,,,,1,1,,,,Input Only,Media Only,,,,1,,https://ucla.box.com/s/x9lrqpqmn5qhd6tzt4luqhm1vwsjkrf1
LaMar,Kaufman,153,26,,,,1,Single Projection,,,,,,1,,,1,Input Only,Media Only,,,,1,,https://ucla.box.com/s/ruzf203if0kicyo3la9y0uj9hsfapjfz
LaMar,Kinsey Pavilion,1200B,122,Fixed Seating,,,,Multiple Projection,,,,1,1,1,,1,1,Inputs Only,Voice & Media,,,1,,1,https://ucla.box.com/s/etcuxybe9ksyhop5z5zlqe19n53034sq
LaMar,Kinsey Pavilion,1220B,178,Fixed Seating,,,,Multiple Projection,,,,1,1,1,,1,1,Inputs Only,Voice & Media,,1,1,,1,https://ucla.box.com/s/zspajedfmd4dxng14bhua246wcxjqx8h
LaMar,Kinsey Pavilion,1240B,122,Fixed Seating,,,,Multiple Projection,,,,1,1,1,,1,1,Inputs Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/yijdho0myboemi4hnxjaiu85k6mdkxv5
LaMar,La Kretz,100,22,,1,1,,Single Projection,,,,,,1,,1,1,Input Only,Media Only,,,,1,,https://ucla.box.com/s/0x0qb13e3qesg0nys1f013t2kkjkxlsv
LaMar,La Kretz,101,22,,1,1,,Single Projection,1,1,,,1,,,1,1,DVD & Blu-Ray,Voice & Media,,,1,1,,https://ucla.box.com/s/r5969d4eo58ymjogqzinzn047cox54gx
LaMar,La Kretz,110,352,Fixed Seating,,,,Single Projection,1,1,,1,1,1,,1,1,DVD & VHS,Voice & Media,,1,1,1,1,https://ucla.box.com/s/fgavvzc15y5g6ajfgq332kbe868bjhwq
LaMar,La Kretz,120,46,Fixed Seating,,,,Single Projection,,,,,,1,,1,1,Input Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/o7zen0jc1lqywwtihpaxa53p8dzc528q
LaMar,Mathematical Sciences,5117,40,Fixed Seating,,,,Single Projection,,,,,1,1,,,1,Input Only,,,,,,1,https://ucla.box.com/s/vn0eajeslwded98smfs5xj71o17zd7w5
LaMar,Mathematical Sciences,5118,40,Fixed Seating,,,,Single Projection,,,,,1,1,,,1,Input Only,,,,,,1,https://ucla.box.com/s/p5wf6vbi17l0gzlvntq8qn8l4bmly5bw
LaMar,Mathematical Sciences,5127,40,Fixed Seating,,,,Single Projection,,,,,1,1,,,1,Input Only,,,,,,1,https://ucla.box.com/s/8c6ru8g7ivavyilzfw4wr40fitcb1mub
LaMar,Mathematical Sciences,5128,40,Fixed Seating,,,,Single Projection,,,,,1,1,,,1,Input Only,,,,,,1,https://ucla.box.com/s/4os5q8819t37v2p0jiyeq4c7rpq7hmf3
LaMar,Mathematical Sciences,5137,40,Fixed Seating,,,,Single Projection,,,,,1,1,,,1,Input Only,,,,,,1,https://ucla.box.com/s/5zawm5pluc9z8jsxaovsj684yolcanyb
